Date,SPY,VIXCLS,T10Y2Y,T10Y3M,sret
2010-01-05,84.802368,19.350000,2.760000,3.700000,0.002643
2010-01-06,84.862099,19.160000,2.840000,3.790000,0.000704
2010-01-07,85.220329,19.060000,2.820000,3.800000,0.004212
2010-01-08,85.503891,18.130000,2.870000,3.780000,0.003322
2010-01-11,85.623329,17.550000,2.900000,3.810000,0.001396
2010-01-12,84.824760,18.250000,2.820000,3.690000,-0.009370
2010-01-13,85.541176,17.850000,2.830000,3.740000,0.008410
2010-01-14,85.772568,17.630000,2.820000,3.710000,0.002701
2010-01-15,84.809830,17.910000,2.810000,3.640000,-0.011288
2010-01-19,85.869583,17.580000,2.800000,3.670000,0.012418
2010-01-20,84.996391,18.680000,2.760000,3.630000,-0.010221
2010-01-21,83.361984,22.270000,2.750000,3.560000,-0.019416
2010-01-22,81.503731,27.310000,2.780000,3.560000,-0.022544
2010-01-25,81.921638,25.410000,2.800000,3.600000,0.005114
2010-01-26,81.578331,24.550000,2.780000,3.580000,-0.004199
2010-01-27,81.966446,23.140000,2.760000,3.580000,0.004746
2010-01-28,81.026093,23.730000,2.810000,3.600000,-0.011539
2010-01-29,80.145447,24.620000,2.810000,3.550000,-0.010928
2010-02-01,81.391754,22.590000,2.820000,3.580000,0.015431
2010-02-02,82.376884,21.480000,2.810000,3.570000,0.012031
2010-02-03,81.966446,21.600000,2.850000,3.630000,-0.004995
2010-02-04,79.436447,26.080000,2.820000,3.530000,-0.031353
2010-02-05,79.600639,26.110000,2.820000,3.490000,0.002065
2010-02-08,79.025978,26.510000,2.830000,3.500000,-0.007245
2010-02-09,80.018555,26.000000,2.830000,3.550000,0.012482
2010-02-10,79.861870,25.400000,2.810000,3.610000,-0.001960
2010-02-11,80.697701,23.960000,2.820000,3.620000,0.010412
2010-02-12,80.630531,22.730000,2.850000,3.590000,-0.000833
2010-02-16,81.899300,22.250000,2.840000,3.560000,0.015613
2010-02-17,82.287338,21.720000,2.870000,3.640000,0.004727
2010-02-18,82.772430,20.630000,2.890000,3.690000,0.005878
2010-02-19,82.944107,20.020000,2.830000,3.670000,0.002072
2010-02-22,82.958984,19.940000,2.890000,3.690000,0.000179
2010-02-23,81.951500,21.370000,2.820000,3.570000,-0.012219
2010-02-24,82.705261,20.270000,2.830000,3.580000,0.009156
2010-02-25,82.593307,20.100000,2.820000,3.510000,-0.001355
2010-02-26,82.645554,19.500000,2.800000,3.480000,0.000632
2010-03-01,83.503815,19.260000,2.810000,3.480000,0.010331
2010-03-02,83.735161,19.060000,2.820000,3.480000,0.002767
2010-03-03,83.809792,18.830000,2.810000,3.490000,0.000891
2010-03-04,84.063522,18.720000,2.750000,3.470000,0.003023
2010-03-05,85.265068,17.420000,2.780000,3.540000,0.014192
2010-03-08,85.280014,17.790000,2.820000,3.560000,0.000175
2010-03-09,85.421806,17.920000,2.820000,3.550000,0.001661
2010-03-10,85.802391,18.570000,2.810000,3.580000,0.004445
2010-03-11,86.160645,18.060000,2.760000,3.570000,0.004167
2010-03-12,86.168106,17.580000,2.740000,3.560000,0.000087
2010-03-15,86.190475,18.000000,2.750000,3.540000,0.000260
2010-03-16,86.877098,17.690000,2.730000,3.500000,0.007935
2010-03-17,87.392052,16.910000,2.700000,3.500000,0.005910
2010-03-18,87.347252,16.620000,2.700000,3.520000,-0.000513
2010-03-19,86.905151,16.970000,2.680000,3.540000,-0.005074
2010-03-22,87.369751,16.870000,2.660000,3.520000,0.005332
2010-03-23,87.984222,16.350000,2.670000,3.550000,0.007008
2010-03-24,87.557091,17.550000,2.760000,3.700000,-0.004866
2010-03-25,87.414688,18.400000,2.810000,3.770000,-0.001628
2010-03-26,87.362244,17.770000,2.820000,3.720000,-0.000600
2010-03-29,87.916817,17.590000,2.840000,3.730000,0.006328
2010-03-30,87.976723,17.130000,2.820000,3.720000,0.000681
2010-03-31,87.676994,17.590000,2.820000,3.680000,-0.003413
2010-04-01,88.276512,17.470000,2.840000,3.730000,0.006815
2010-04-05,88.995903,17.020000,2.830000,3.830000,0.008116
2010-04-06,89.205742,16.230000,2.840000,3.810000,0.002355
2010-04-07,88.696129,16.620000,2.830000,3.720000,-0.005729
2010-04-08,89.003365,16.480000,2.820000,3.740000,0.003458
2010-04-09,89.587891,16.140000,2.820000,3.740000,0.006546
2010-04-12,89.730270,15.580000,2.800000,3.710000,0.001588
2010-04-13,89.797707,16.200000,2.770000,3.680000,0.000751
2010-04-14,90.816864,15.590000,2.810000,3.720000,0.011286
2010-04-15,90.891808,15.890000,2.820000,3.700000,0.000825
2010-04-16,89.445480,18.360000,2.810000,3.630000,-0.016041
2010-04-19,89.782722,17.340000,2.820000,3.670000,0.003763
2010-04-20,90.584572,15.730000,2.770000,3.660000,0.008891
2010-04-21,90.419708,16.320000,2.740000,3.620000,-0.001822
2010-04-22,90.689484,16.470000,2.730000,3.640000,0.002979
2010-04-23,91.281464,16.620000,2.740000,3.680000,0.006506
2010-04-26,90.936745,17.470000,2.740000,3.670000,-0.003784
2010-04-27,88.786087,22.810000,2.680000,3.550000,-0.023934
2010-04-28,89.460472,21.080000,2.770000,3.640000,0.007567
2010-04-29,90.569588,18.440000,2.750000,3.590000,0.012322
2010-04-30,89.033363,22.050000,2.720000,3.530000,-0.017107
2010-05-03,90.187416,20.190000,2.720000,3.550000,0.012879
2010-05-04,88.066635,23.840000,2.670000,3.470000,-0.023796
2010-05-05,87.542076,24.910000,2.700000,3.430000,-0.005974
2010-05-06,84.634514,32.800000,2.660000,3.300000,-0.033777
2010-05-07,83.375572,40.950000,2.620000,3.320000,-0.014987
2010-05-10,87.047531,28.840000,2.700000,3.410000,0.043099
2010-05-11,86.800201,28.320000,2.710000,3.400000,-0.002845
2010-05-12,88.014214,25.520000,2.670000,3.400000,0.013889
2010-05-13,86.920067,26.680000,2.680000,3.390000,-0.012509
2010-05-14,85.346428,31.240000,2.650000,3.280000,-0.018270
2010-05-17,85.391373,30.840000,2.660000,3.310000,0.000526
2010-05-18,84.229866,33.550000,2.620000,3.210000,-0.013696
2010-05-19,83.750229,35.320000,2.560000,3.190000,-0.005711
2010-05-20,80.587875,45.790000,2.490000,3.080000,-0.038491
2010-05-21,81.764420,40.100000,2.440000,3.030000,0.014494
2010-05-24,80.715271,38.320000,2.460000,3.060000,-0.012914
2010-05-25,80.797714,34.610000,2.370000,3.010000,0.001021
2010-05-26,80.310600,35.020000,2.390000,3.040000,-0.006047
2010-05-27,83.000885,29.680000,2.470000,3.170000,0.032950
2010-05-28,81.959251,32.070000,2.550000,3.150000,-0.012629
2010-06-01,80.580383,35.540000,2.510000,3.130000,-0.016967
2010-06-02,82.678650,30.170000,2.530000,3.190000,0.025706
2010-06-03,82.963402,29.460000,2.570000,3.250000,0.003438
2010-06-04,80.048363,35.480000,2.480000,3.060000,-0.035769
2010-06-07,79.051666,36.570000,2.430000,3.050000,-0.012529
2010-06-08,79.898453,33.700000,2.440000,3.060000,0.010655
2010-06-09,79.471321,33.730000,2.460000,3.100000,-0.005360
2010-06-10,81.794373,30.570000,2.540000,3.230000,0.028812
2010-06-11,82.191559,28.790000,2.490000,3.160000,0.004844
2010-06-14,82.064156,28.580000,2.510000,3.210000,-0.001551
2010-06-15,83.930115,25.870000,2.530000,3.230000,0.022483
2010-06-16,83.900139,25.920000,2.520000,3.170000,-0.000357
2010-06-17,84.035011,25.050000,2.490000,3.120000,0.001606
2010-06-18,84.126129,23.950000,2.500000,3.130000,0.001084
2010-06-21,83.885201,24.880000,2.520000,3.140000,-0.002868
2010-06-22,82.499779,27.050000,2.470000,3.050000,-0.016654
2010-06-23,82.243759,26.910000,2.470000,3.000000,-0.003108
2010-06-24,80.880959,29.740000,2.470000,3.010000,-0.016709
2010-06-25,81.219772,28.530000,2.470000,2.990000,0.004180
2010-06-28,80.963791,29.000000,2.430000,2.880000,-0.003157
2010-06-29,78.464005,34.130000,2.360000,2.820000,-0.031362
2010-06-30,77.718613,34.540000,2.360000,2.790000,-0.009545
2010-07-01,77.372269,32.860000,2.330000,2.790000,-0.004466
2010-07-02,76.950569,30.120000,2.370000,2.830000,-0.005465
2010-07-06,77.455070,29.650000,2.330000,2.780000,0.006535
2010-07-07,79.894600,26.840000,2.370000,2.840000,0.031010
2010-07-08,80.685196,25.710000,2.410000,2.890000,0.009847
2010-07-09,81.287521,24.980000,2.440000,2.910000,0.007437
2010-07-12,81.340240,24.430000,2.430000,2.920000,0.000648
2010-07-13,82.567528,24.560000,2.480000,3.000000,0.014976
2010-07-14,82.559990,24.890000,2.450000,2.920000,-0.000091
2010-07-15,82.582611,25.140000,2.390000,2.850000,0.000274
2010-07-16,80.308731,26.250000,2.350000,2.810000,-0.027921
2010-07-19,80.783051,25.970000,2.380000,2.820000,0.005889
2010-07-20,81.679031,23.930000,2.370000,2.820000,0.011030
2010-07-21,80.617424,25.640000,2.320000,2.740000,-0.013083
2010-07-22,82.416939,24.630000,2.360000,2.800000,0.022076
2010-07-23,83.132271,23.470000,2.420000,2.860000,0.008642
2010-07-26,83.998154,22.730000,2.410000,2.870000,0.010362
2010-07-27,83.990593,23.190000,2.430000,2.930000,-0.000090
2010-07-28,83.448509,24.250000,2.420000,2.880000,-0.006475
2010-07-29,83.041885,24.130000,2.440000,2.880000,-0.004885
2010-07-30,83.026863,23.500000,2.390000,2.790000,-0.000181
2010-08-02,84.901680,22.010000,2.430000,2.830000,0.022330
2010-08-03,84.495071,22.630000,2.410000,2.780000,-0.004801
2010-08-04,85.059776,22.210000,2.420000,2.820000,0.006661
2010-08-05,84.969421,22.100000,2.410000,2.790000,-0.001063
2010-08-06,84.623077,21.740000,2.360000,2.710000,-0.004084
2010-08-09,85.074806,22.140000,2.320000,2.710000,0.005324
2010-08-10,84.615540,22.370000,2.270000,2.640000,-0.005413
2010-08-11,82.296463,25.390000,2.180000,2.570000,-0.027790
2010-08-12,81.792023,25.730000,2.190000,2.580000,-0.006148
2010-08-13,81.551086,26.240000,2.140000,2.530000,-0.002950
2010-08-16,81.513420,26.100000,2.070000,2.420000,-0.000462
2010-08-17,82.514854,24.330000,2.120000,2.470000,0.012211
2010-08-18,82.665413,24.590000,2.130000,2.480000,0.001823
2010-08-19,81.227333,26.440000,2.090000,2.420000,-0.017549
2010-08-20,80.963791,25.490000,2.130000,2.470000,-0.003250
2010-08-23,80.655060,25.660000,2.110000,2.440000,-0.003820
2010-08-24,79.457886,27.460000,2.000000,2.340000,-0.014954
2010-08-25,79.766586,26.700000,2.010000,2.380000,0.003878
2010-08-26,79.232010,27.370000,1.990000,2.340000,-0.006724
2010-08-27,80.459305,24.450000,2.100000,2.510000,0.015371
2010-08-30,79.292236,27.210000,2.040000,2.400000,-0.014611
2010-08-31,79.292236,26.050000,2.000000,2.330000,0.000000
2010-09-01,81.664032,23.890000,2.080000,2.450000,0.029473
2010-09-02,82.424477,23.190000,2.130000,2.490000,0.009269
2010-09-03,83.493660,21.310000,2.200000,2.580000,0.012888
2010-09-07,82.552460,23.800000,2.120000,2.470000,-0.011337
2010-09-08,83.132271,23.250000,2.140000,2.520000,0.006999
2010-09-09,83.516220,22.810000,2.200000,2.630000,0.004608
2010-09-10,83.937904,21.990000,2.230000,2.670000,0.005036
2010-09-13,84.871574,21.210000,2.210000,2.590000,0.011062
2010-09-14,84.818825,21.560000,2.180000,2.530000,-0.000622
2010-09-15,85.142570,22.100000,2.240000,2.590000,0.003810
2010-09-16,85.120049,21.720000,2.290000,2.610000,-0.000265
2010-09-17,85.151794,22.010000,2.270000,2.590000,0.000373
2010-09-20,86.453796,21.500000,2.250000,2.550000,0.015175
2010-09-21,86.279701,22.350000,2.180000,2.440000,-0.002016
2010-09-22,85.855789,22.510000,2.120000,2.400000,-0.004925
2010-09-23,85.159340,23.870000,2.110000,2.400000,-0.008145
2010-09-24,86.915535,21.710000,2.170000,2.470000,0.020413
2010-09-27,86.499222,22.540000,2.100000,2.380000,-0.004801
2010-09-28,86.801994,22.600000,2.110000,2.320000,0.003494
2010-09-29,86.650620,23.250000,2.080000,2.360000,-0.001745
2010-09-30,86.393219,23.700000,2.110000,2.370000,-0.002975
2010-10-01,86.756569,22.500000,2.120000,2.380000,0.004197
2010-10-04,86.105598,23.530000,2.090000,2.370000,-0.007532
2010-10-05,87.839058,21.760000,2.090000,2.380000,0.019932
2010-10-06,87.831467,21.490000,2.030000,2.280000,-0.000086
2010-10-07,87.725487,21.560000,2.050000,2.280000,-0.001207
2010-10-08,88.217537,20.710000,2.060000,2.290000,0.005593
2010-10-11,88.300804,18.960000,2.060000,2.290000,0.000943
2010-10-12,88.573296,18.930000,2.070000,2.310000,0.003081
2010-10-13,89.262169,19.070000,2.090000,2.330000,0.007747
2010-10-14,88.913956,19.880000,2.140000,2.380000,-0.003909
2010-10-15,89.095604,19.030000,2.220000,2.450000,0.002041
2010-10-18,89.534660,19.090000,2.140000,2.370000,0.004916
2010-10-19,88.361382,20.630000,2.130000,2.360000,-0.013191
2010-10-20,89.224312,19.790000,2.160000,2.370000,0.009719
2010-10-21,89.421120,19.270000,2.200000,2.440000,0.002203
2010-10-22,89.587646,18.780000,2.240000,2.460000,0.001861
2010-10-25,89.852608,19.850000,2.220000,2.450000,0.002953
2010-10-26,89.867744,20.220000,2.270000,2.530000,0.000168
2010-10-27,89.610367,20.710000,2.350000,2.610000,-0.002868
2010-10-28,89.625511,20.880000,2.320000,2.560000,0.000169
2010-10-29,89.693642,21.200000,2.290000,2.510000,0.000760
2010-11-01,89.723907,21.830000,2.320000,2.530000,0.000337
2010-11-02,90.435463,21.570000,2.290000,2.500000,0.007899
2010-11-03,90.798813,19.560000,2.330000,2.540000,0.004010
2010-11-04,92.547455,18.520000,2.200000,2.400000,0.019075
2010-11-05,92.895622,18.260000,2.200000,2.450000,0.003755
2010-11-08,92.721519,18.290000,2.190000,2.470000,-0.001876
